name,brand,image_url,gender,notes,season_tags,time_tags,brand_tag,activity,weather,desired_impression,emotion_cluster
Purple Fig Eau de Parfum,Vilhelm Parfumerie,https://static.luckyscent.com/images/products/858003.jpg?width=400&404=product.png,women,"angelica seeds, cashmere woods, galbanum, green fig, jasmine, sichuan pepper, vetiver",spring,day,Vilhelm Parfumerie,casual,any,"confident, fresh",2
Basilico & Fellini Eau de Parfum,Vilhelm Parfumerie,https://static.luckyscent.com/images/products/858004.jpg?width=400&404=product.png,unisex,"basil, dragon fruit, green hay, vetiver, violet, wild fig",spring,day,Vilhelm Parfumerie,casual,any,"confident, mysterious",2
Poets of Berlin Eau de Parfum,Vilhelm Parfumerie,https://static.luckyscent.com/images/products/858005.jpg?width=400&404=product.png,women,"blueberry, green wild orris, lemon, sandalwood, vanilla, vetiver",spring,day,Vilhelm Parfumerie,casual,cold,"confident, mysterious",3
Morning Chess Eau de Parfum,Vilhelm Parfumerie,https://static.luckyscent.com/images/products/858006.jpg?width=400&404=product.png,men,"bergamot, black amber, galbanum, patchouli, tuscan leather",fall,day,Vilhelm Parfumerie,date,cold,"confident, mysterious",5
Mango Skin Eau de Parfum,Vilhelm Parfumerie,https://static.luckyscent.com/images/products/858007.jpg?width=400&404=product.png,women,"black lotus, black pepper, blackberries, jasmine, mango, patchouli, pink sugar, vanilla, wild orris",summer,night,Vilhelm Parfumerie,casual,cold,"confident, mysterious",5
Dear Polly Eau de Parfum,Vilhelm Parfumerie,https://static.luckyscent.com/images/products/858008.jpg?width=400&404=product.png,women,"apple, bergamot, black amber, ceylon black tea, musk, oakmoss",fall,day,Vilhelm Parfumerie,date,cold,"confident, mysterious",1
Black Citrus Eau de Parfum,Vilhelm Parfumerie,https://static.luckyscent.com/images/products/858009.jpg?width=400&404=product.png,women,"birch, calabria bergamot, cardamom, mate leaves, patchouli, violet",summer,day,Vilhelm Parfumerie,casual,hot,"confident, fresh",5
Lil Fleur Eau de Parfum,BYREDO,https://static.luckyscent.com/images/products/641207.jpg?width=400&404=product.png,women,"amber, blonde woods, cassis, damascena rose, leather, saffron, tangerine, vanilla",summer,night,BYREDO,date,cold,"confident, mysterious",3
Kurokami Parfum,Di Ser,https://static.luckyscent.com/images/products/788010.jpg?width=400&404=product.png,women,"frankincense, grapefruit, jasmine grandiflorum, rose absolute, rose otto, rosewood, sandalwood",summer,night,Di Ser,date,hot,"elegant, friendly",3
Bouquet de Hongrie Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856000.jpg?width=400&404=product.png,women,"amber, blackcurrant, cedar, lorenox, musk, pear, rose of turkey, sambac jasmine, strawberry",summer,night,BDK Parfums,date,cold,"confident, mysterious",0
Undergrowth Eau de Parfum,Rook Perfumes,https://static.luckyscent.com/images/products/859000.jpg?width=400&404=product.png,women,"garden mint, grass, green notes, mandarin, musk, orris, patchouli, soil, vetiver",spring,day,Rook Perfumes,date,hot,"confident, mysterious",2
Rook Eau de Parfum,Rook Perfumes,https://static.luckyscent.com/images/products/859001.jpg?width=400&404=product.png,men,"agarwood, amber, ambrette, birch tar, cardamom, castoreum, civet, ginger, guaiac wood, incense, musk, tobacco",fall,night,Rook Perfumes,date,cold,"confident, mysterious",1
Forest Eau de Parfum,Rook Perfumes,https://static.luckyscent.com/images/products/859002.jpg?width=400&404=product.png,unisex,"black pepper, cedar, cypress, green notes, incense, musk, patchouli, pine",spring,day,Rook Perfumes,date,any,"confident, mysterious",5
Hapyang Eau de Parfum,"Pierre Guillaume Paris, Parfumerie Generale",https://static.luckyscent.com/images/products/345367.jpg?width=400&404=product.png,women,"benzoin, magnolia, peartree, powder  aldehyde mist, vanilla, ylangylang",fall,night,"Pierre Guillaume Paris, Parfumerie Generale",casual,cold,"confident, mysterious",3
Young Hearts Eau de Parfum,Bruno Acampora,https://static.luckyscent.com/images/products/375041.jpg?width=400&404=product.png,women,"amber, bergamot, birch leaf, fir balsam, galbanum, jasmine, musk, oakmoss, patchouli, pine, rose, saffron",summer,day,Bruno Acampora,date,cold,"confident, mysterious",4
Eau de Yuzu Eau de Toilette,PARFUMS DE NICOLAI,https://static.luckyscent.com/images/products/313062.jpg?width=400&404=product.png,women,"gaiac, grapefruit, juniper, lemon leaf, patchouli, yuzu",spring,night,PARFUMS DE NICOLAI,casual,hot,"confident, mysterious",5
Creme de Cuir Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856008.jpg?width=400&404=product.png,women,"bergamot, birch oil, grey musk, mandarin, musk, pineapple, pink berries, sandalwood, vanilla, white suede",fall,day,BDK Parfums,date,cold,"confident, mysterious",3
Tabac Rose Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856009.jpg?width=400&404=product.png,women,"chocolate accord, cinnamon from madagascar, labdanum resin from spain, lemon from italy, patchouli oil from indonesia, pink pepper from madagascar, plum accord, rose from turkey, tobacco absolute from the balkans",summer,night,BDK Parfums,casual,cold,"confident, mysterious",1
French Bouquet Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856010.jpg?width=400&404=product.png,women,"aldehyde c, bergamot from italy, coriander, jasmine from india, labdanum from spain, orange blossom from tunisia, patchouli from indonesia, rose from morocco, sandalwood, tobacco from cuba, tonka bean, vetiver from haiti, violet",summer,day,BDK Parfums,casual,cold,"confident, mysterious",3
Oud Abramad Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856006.jpg?width=400&404=product.png,women,"agarwood, castoreum, cumin, ginger, guaiac wood, incense, orcanox, patchouli, rockrose, rose of turkey, safran",summer,night,BDK Parfums,date,any,"confident, mysterious",5
Rouge Smoking Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856002.jpg?width=400&404=product.png,women,"ambroxan, bergamot from italy, black vanilla, cashmeran, cherry accord, heliotrope, labdanum, musk, pink berries, tonka bean",fall,day,BDK Parfums,date,cold,"confident, mysterious",1
Tubereuse Imperiale Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856007.jpg?width=400&404=product.png,women,"benzoin of sumatra, cashmeran, cypress, geranium of egypt, incense of somalia, iris, jasmine of egypt, patchouli of singapore, pink peppercorn, sambac jasmine, sandalwood, tuberose of india, vanilla of madagascar, ylang ylang of comoros",summer,night,BDK Parfums,date,cold,"confident, mysterious",3
Nuit de Sable Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856004.jpg?width=400&404=product.png,women,"absolute of rose, absolute of tonka bean, ambroxan, cardamom, cumin, hot sand accord, musk, nutmeg, rose oxide, sandalwood",summer,night,BDK Parfums,date,cold,"confident, mysterious",3
Wood Jasmin Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856005.jpg?width=400&404=product.png,women,"cypriol nagarmotha of india, dhavanam, incense of somalia, jasmine of egypt, labdanum of spain, patchouli of indonesia, pear, plum, rose of turkey, sambac jasmine, vanilla of madagascar",summer,night,BDK Parfums,date,cold,"confident, mysterious",1
Pas Ce Soir Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856001.jpg?width=400&404=product.png,women,"amber wood, black pepper, cashmeran, ginger, mandarin, moroccan jasmine, orange blossom, patchouli of singapore, quince chutney",summer,night,BDK Parfums,date,cold,"confident, mysterious",1
Dolceacqua Eau de Parfum,Masque Milano,https://static.luckyscent.com/images/products/640013.jpg?width=400&404=product.png,men,"almond flower, benjoin siam, cedarwood virginia, coastal breeze accord, ivy leaves, mediterranean marjoram, mimosa, muguet, oakmoss, saffron flower, silky musks, white rose, ylangylang nosy be",summer,night,Masque Milano,date,rainy,"confident, mysterious",1
Black Beard Extrait de Parfum,CALAJ Perfumes,https://static.luckyscent.com/images/products/857000.jpg?width=400&404=product.png,unisex,"amber, artemisia, basil, bergamot, bulgarian lavender, carnation, geranium, leather, moss, musk, orange, patchouli, petitgrain, rose, tabacco, tonka bean",summer,day,CALAJ Perfumes,date,cold,"confident, mysterious",4
Transilvania Extrait de Parfum,CALAJ Perfumes,https://static.luckyscent.com/images/products/857001.jpg?width=400&404=product.png,unisex,"angelica, black cherry, civet, coumarin, honey, immortelle, jasmine, musk, opoponax, oud, patchouli, rose oxyde, tuberose, vanilla",summer,night,CALAJ Perfumes,date,cold,"confident, mysterious",5
Love Toxin Extrait de Parfum,CALAJ Perfumes,https://static.luckyscent.com/images/products/857002.jpg?width=400&404=product.png,unisex,"bergamot, castoreum, coconut, coriander, cumin, gardenia, hay, heliotrope, iris, jasmin, leather, musk, oakmoss, opoponax, peach, plum, rose, rose oxyde, strawberry, tuberose, vanilla",summer,day,CALAJ Perfumes,date,cold,"confident, mysterious",3
Oshun Extrait de Parfum,CALAJ Perfumes,https://static.luckyscent.com/images/products/857003.jpg?width=400&404=product.png,unisex,"amber, black currant, black pepper, castoreum, cinnamon, cloves, jasmine, lemon, magnolia, peru balsam, pine, rose, tobacco, tonka bean",summer,day,CALAJ Perfumes,date,cold,"confident, mysterious",4
Isra & Miraj Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/655016.jpg?width=400&404=product.png,men,"amber, bergamot, ceylan, cinnamon, heliotrope, leather, musk, natural oud, nutmeg, osmanthus absolute, patchouli, santal de mysore, tangerine, vanilla",fall,day,Stephane Humbert Lucas 777,date,cold,"confident, mysterious",0
Petits Papiers Eau de Parfum,Mad et Len,https://static.luckyscent.com/images/products/75224.jpg?width=400&404=product.png,women,"benzoin, copaiva balsam, gaiac, paper, patchouli, resins",fall,night,Mad et Len,casual,any,"confident, mysterious",5
La Danza delle Libellule Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52310.jpg?width=400&404=product.png,unisex,"bergamot, cedar, cinnamon, musk, red apple, vanilla and coconut",fall,day,Nobile 1942,date,cold,"confident, mysterious",1
Magnolia Grandiflora - Michel Eau de Parfum,Grandiflora,https://static.luckyscent.com/images/products/64200.jpg?width=400&404=product.png,women,"bergamot, grapefruit, jasmine, lemon, magnolia, patchouli and musk, rose, vetiver, ylangylang",summer,day,Grandiflora,date,hot,"confident, mysterious",2
Bell'Antonio Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46602.jpg?width=400&404=product.png,men,tobacco and coffee,fall,night,Hilde Soliani,casual,any,"confident, mysterious",1
Golden Moka Eau de Parfum,Xerjoff,https://static.luckyscent.com/images/products/51155.jpg?width=400&404=product.png,unisex,"amber, blood orange, cambodian oud, coffee absolute, green accord, incense, labdanum, lemon, mandarin, rose absoute",spring,day,Xerjoff,date,cold,"confident, mysterious",1
Oud Stars - Indochine Parfum,Xerjoff,https://static.luckyscent.com/images/products/51156.jpg?width=400&404=product.png,unisex,"agarwood, brasilian orange, bulgarian rose, freesia, muguet, musk, oud blend, peony, pink pepper, strawberry, vanilla",summer,night,Xerjoff,date,cold,"confident, mysterious",3
Fatal Charme Eau de Parfum,Xerjoff - Join the Club,https://static.luckyscent.com/images/products/63200.jpg?width=400&404=product.png,women,"cream soda, fruity, iris, lemony, musk",winter,night,Xerjoff - Join the Club,date,any,"confident, mysterious",1
Mad About You Eau de Parfum,Pierre Guillaume Paris Black Collection,https://static.luckyscent.com/images/products/545017.jpg?width=400&404=product.png,men,"black tea, leather, licorice, lipstick, red fruits, violet",fall,night,Pierre Guillaume Paris Black Collection,date,any,"confident, mysterious",1
Anti-Blues,Pierre Guillaume Paris Black Collection,https://static.luckyscent.com/images/products/545018.jpg?width=400&404=product.png,men,"amyris, cacao wood, dark chocolate, grapefruit, hay, incense, leather, resin, saffron, tobacco, vanilla, vetiver",fall,night,Pierre Guillaume Paris Black Collection,date,cold,"confident, mysterious",2
Tahiti Vanilla Parfum,Farmacia SS. Annunziata dal 1561,https://static.luckyscent.com/images/products/440027.jpg?width=400&404=product.png,women,"bergamot, jasmine, key lime, mimosa, neroli, patchouly, rosemary, sage, sandalwood, vanilla, vetiver, ylang ylang",summer,day,Farmacia SS. Annunziata dal 1561,casual,cold,"confident, mysterious",3
Fuyu Eau de Parfum,Tom Daxon,https://static.luckyscent.com/images/products/62632.jpg?width=400&404=product.png,women,"cedar, iris, jasmine, soft musks, white peach",summer,night,Tom Daxon,date,any,"confident, mysterious",1
Perfumista Eau de Parfum,Anatole Lebreton,https://static.luckyscent.com/images/products/70806.jpg?width=400&404=product.png,women,"cedar, jasmine, mousse de saxe accord, musk, pear, peru balsam, plum, raspberry, rose",summer,night,Anatole Lebreton,date,any,"confident, mysterious",0
Douleur! Eau de Parfum,Bogue Profumo,https://static.luckyscent.com/images/products/66933.jpg?width=400&404=product.png,women,"benzoin, cotton candy, melon, metallic notes, mint, rose, seaweed",spring,day,Bogue Profumo,casual,hot,"confident, fresh",1
Ambre Stone Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836000.jpg?width=400&404=product.png,women,"ambergris infusion, egyptian jasmine absolute late crop, indian sandalwood oil, indonesian patchouli oil, italian bergamot oil late crop, moroccan neroli oil",summer,day,Anthologie de Grands Crus,date,cold,"confident, mysterious",1
Vanille d'Amine Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836001.jpg?width=400&404=product.png,women,"madagascan clove bud oil, madagascan vanilla olorsin, somalian olibanum",fall,night,Anthologie de Grands Crus,casual,cold,"confident, mysterious",1
Bergamote de G. Franco Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836002.jpg?width=400&404=product.png,women,"chinese osmanthus alcoolat grand cru, italian bergamot oil grand cru, kashmirin saffron, moroccan mimosa absolute",summer,day,Anthologie de Grands Crus,casual,hot,"confident, mysterious",1
Vetiver de Pierre Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836003.jpg?width=400&404=product.png,men,"haitian vetiver oil special grand cru, ivory coast cacao absolute, turkish blond tobacco, venezuelan tonka absolute",fall,day,Anthologie de Grands Crus,work,any,"confident, mysterious",1
Jasmin de Cherifa Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836004.jpg?width=400&404=product.png,women,"egyptian jasmine absolute grand cru, egyptian rose absolute centifolia grand cru, indian sandalwood grand cru",summer,day,Anthologie de Grands Crus,casual,any,"confident, fresh",1
I Love YY,Bogue Profumo,https://static.luckyscent.com/images/products/66932.jpg?width=400&404=product.png,women,"benzoin, cedar, grapefruit, jasmine, rose, tonka bean, vanilla, violet leaf, ylang ylang",summer,night,Bogue Profumo,work,cold,"confident, mysterious",3
New York Eau de Parfum,Widian,https://static.luckyscent.com/images/products/709015.jpg?width=400&404=product.png,unisex,"akigala, amber, bergamot, caramel, coriander, cypriol, geranium, jasmine, juniper, lavender, lemon, mandarin, musk, olibanum, orris, patchouli, pink pepper, rose, tobacco, tonka bean, vanilla, vetiver, white amber",summer,day,Widian,date,cold,"confident, mysterious",4
Gold II Sahara Parfum Extrait,Widian,https://static.luckyscent.com/images/products/70906.jpg?width=400&404=product.png,unisex,"amber, cedar, elemi, musk, orange, orange blossom, rose, saffron, vanilla",summer,night,Widian,date,cold,"confident, mysterious",0
Bengale Rouge Eau de Parfum,Papillon Artisan Perfumes,https://static.luckyscent.com/images/products/665006.jpg?width=400&404=product.png,women,"benzoin, honey, labdanum, oakmoss, orris, rose, sandalwood, sweet myrrh, tonka bean, vanilla",summer,night,Papillon Artisan Perfumes,casual,cold,"confident, mysterious",3
Avatar Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46642.jpg?width=400&404=product.png,women,"biscuits, caramel, milk, sugar",fall,night,Hilde Soliani,casual,any,"pure, friendly",1
Midnight Saffron Eau de Parfum,Tom Daxon,https://static.luckyscent.com/images/products/62631.jpg?width=400&404=product.png,unisex,"amber woods, jasmine, lavender, saffron, suede",summer,day,Tom Daxon,date,cold,"confident, mysterious",1
Dolls Eau de Parfum,Moth and Rabbit,https://static.luckyscent.com/images/products/666010.jpg?width=400&404=product.png,unisex,"amber, animalic notes, apple blossom, cedar, cherry blossom, davana, geranium, musk, orange blossom, rose, snow flake accord, sweet maple accord, ylang ylang",summer,night,Moth and Rabbit,date,cold,"confident, mysterious",0
Opale Eau de Parfum,Omnia Profumo,https://static.luckyscent.com/images/products/46111.jpg?width=400&404=product.png,unisex,"cedar, geranium, hawthorne, jasmine, lilac, musk, patchouli, seaweed, tonka bean, vanilla",summer,night,Omnia Profumo,date,cold,"confident, mysterious",5
Poudrextase Eau de Parfum,Marlou,https://static.luckyscent.com/images/products/76302.jpg?width=400&404=product.png,women,"civet, cypress, dried rose, musks, rice powder",summer,night,Marlou,date,any,"confident, mysterious",1
Single Man Eau de Parfum,Moth and Rabbit,https://static.luckyscent.com/images/products/666009.jpg?width=400&404=product.png,men,"amber, cardamom, cashmere wood, cedar, elemi oil, ginger oil, mahogany, nutmeg, oakmoss, patchouli, red pepper, rose, violet wood, winter lemon oil",summer,night,Moth and Rabbit,date,cold,"confident, mysterious",5
Whisky Oud Parfum Concentration,Farmacia SS. Annunziata dal 1561,https://static.luckyscent.com/images/products/44026.jpg?width=400&404=product.png,women,"amber, cedar, incense, labdanum, musk, oud, saffron, suede, vetiver, whisky",fall,night,Farmacia SS. Annunziata dal 1561,date,cold,"confident, mysterious",2
Limited 71 Intense Eau de Parfum,Widian,https://static.luckyscent.com/images/products/70914.jpg?width=400&404=product.png,men,"akigalawood, amber, bays, bergamot, cashmeran, dry amber, lavender, oudwood, patchouli, sage, vetiver",summer,day,Widian,date,cold,"confident, mysterious",2
Lambrosc Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46641.jpg?width=400&404=product.png,women,"red wine, sweet red fruits",fall,night,Hilde Soliani,casual,any,"elegant, friendly",1
Donna Sentenza Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46640.jpg?width=400&404=product.png,women,"banana, cream, vanilla",fall,night,Hilde Soliani,casual,cold,"confident, mysterious",3
Manteuse Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/655015.jpg?width=400&404=product.png,men,"bergamot, honey, iris, labdanum, leather, oppoponax, sandalwood, shangrilade musk, smoked vanilla, white flowers",fall,day,Stephane Humbert Lucas 777,date,cold,"confident, mysterious",3
Against Nature Eau de Parfum,Timothy Han Edition Perfumes,https://static.luckyscent.com/images/products/69403.jpg?width=400&404=product.png,unisex,"amber, green notes, jasmine, juniper, lacquer, lemon, metal, musk, patchouli, pink pepper, sandalwood, vetiver, ylang ylang",spring,day,Timothy Han Edition Perfumes,date,cold,"confident, mysterious",4
Cornaline Eau de Parfum,Anatole Lebreton,https://static.luckyscent.com/images/products/70805.jpg?width=400&404=product.png,women,"carrot root, geranium, green notes, mirabilis, musk, orris, peach, red berries, vanilla, ylang ylang",spring,day,Anatole Lebreton,date,cold,"confident, mysterious",3
Bluebijou Eau de Parfum,Piotr Czarnecki,https://static.luckyscent.com/images/products/66002.jpg?width=400&404=product.png,men,"amber, blueberry, cacao, cashmeran, cognac, dark chocolate, musk, oud, tobacco, truffle, violet",fall,night,Piotr Czarnecki,date,cold,"confident, mysterious",0
Kiviskin Eau de Parfum,Piotr Czarnecki,https://static.luckyscent.com/images/products/66003.jpg?width=400&404=product.png,men,"benzoin, cedar, dark chocolate, leather, nutmeg, pimento, saffron, tobacco, violet",fall,night,Piotr Czarnecki,date,any,"confident, mysterious",1
Venom of Angel Eau de Parfum,Piotr Czarnecki,https://static.luckyscent.com/images/products/66004.jpg?width=400&404=product.png,men,"aloe vera, black pepper, cedar, coconut, ivy, olibanum, rum, sugar cane, white chocolate",fall,night,Piotr Czarnecki,work,any,"confident, fresh",1
Hili Eau de Parfum,Widian,https://static.luckyscent.com/images/products/70913.jpg?width=400&404=product.png,unisex,"amber, bergamot, cedar, cinnamon, coconut milk, coriander, jasmine, patchouli, pink pepper, sandalwood, tiare, tobacco leaf, tuberose, vanilla, ylang ylang",summer,day,Widian,date,cold,"confident, mysterious",4
Niral Eau de Parfum,Neela Vermeire Creations,https://static.luckyscent.com/images/products/56509.jpg?width=400&404=product.png,unisex,"ambrette seed, angelica seed, cabreuva, cardamom, cedar, green wine lees, iris, jasmine, leather, magnolia, pink pepper, rose, sandalwood, tea",spring,day,Neela Vermeire Creations,date,any,"confident, mysterious",4
London Eau de Parfum,Widian,https://static.luckyscent.com/images/products/70912.jpg?width=400&404=product.png,unisex,"cypress, dry amber, leather, lily of the valley, musk, oud, raspberry, vanilla, violet",fall,night,Widian,date,cold,"confident, mysterious",3
Buonissimo Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46639.jpg?width=400&404=product.png,women,"cappuccino, cream, vanilla",fall,night,Hilde Soliani,casual,cold,"confident, mysterious",3
Boronia Eau de Parfum,Grandiflora,https://static.luckyscent.com/images/products/64204.jpg?width=400&404=product.png,men,"apricot, black tea, boronia, caramel, cognac, floral notes, green notes, resins, suede, tobacco, woods",spring,day,Grandiflora,casual,any,"confident, mysterious",1
Ambilux (formerly 50ml d'Ambiguite) Eau de Parfum,Marlou,https://static.luckyscent.com/images/products/76301.jpg?width=400&404=product.png,women,"castoreum, costus, cumin, dune plants, incense, pink peppercorn, ylang",winter,night,Marlou,date,any,"confident, mysterious",1
Grimoire Eau de Parfum,Anatole Lebreton,https://static.luckyscent.com/images/products/70804.jpg?width=400&404=product.png,men,"basil, bergamot, cedar, cumin, elemi, lavender, moss, muscs, olibanum, patchouli",summer,day,Anatole Lebreton,casual,hot,"confident, mysterious",5
The Decay Of The Angel Eau de Parfum,Timothy Han Edition Perfumes,https://static.luckyscent.com/images/products/69402.jpg?width=400&404=product.png,unisex,"acacia, cade, cedar, frankincense, labdanum, mandarin, neroli, oud, patchouli, rose, sambac jasmine, tonka bean, ylangylang",summer,night,Timothy Han Edition Perfumes,date,cold,"confident, mysterious",5
Dryad Eau de Parfum,Papillon Artisan Perfumes,https://static.luckyscent.com/images/products/66505.jpg?width=400&404=product.png,unisex,"apricot, benzoin, bergamot, bigaradier orange, cedrat, clary sage, costus, galbanum, jonquil, lavender, narcissus, oakmoss, orange blossom, orris, peru balsam, styrax, tarragon, thyme, vetiver",summer,day,Papillon Artisan Perfumes,casual,hot,"confident, mysterious",2
L'homme Accompli Eau de Parfum,Divine,https://static.luckyscent.com/images/products/22716.jpg?width=400&404=product.png,men,"amber, bergamot, cedar, guaiac wood, leather, lemon, styrax, vetiver, violet",fall,day,Divine,date,cold,"confident, mysterious",2
White Madera Eau de Parfum,Omnia Profumo,https://static.luckyscent.com/images/products/46110.jpg?width=400&404=product.png,unisex,"cedar, cinnamon, citrus, coconut, floral notes, musk, peach blossom, star anise, tobacco blossom, vanilla",spring,day,Omnia Profumo,date,cold,"confident, mysterious",3
Cactus Azul Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62130.jpg?width=400&404=product.png,men,"cactus flower, cedar, nanah mint",spring,day,Fueguia 1833,casual,hot,"confident, fresh",1
Chamber Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62131.jpg?width=400&404=product.png,women,"aquatic plants, mate, spanish moss",spring,night,Fueguia 1833,casual,rainy,"confident, mysterious",1
Jacaranda Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62132.jpg?width=400&404=product.png,women,"mahogany, rosewood, spruce",summer,night,Fueguia 1833,casual,any,"confident, fresh",1
Muskara Phero J Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62133.jpg?width=400&404=product.png,women,musks from the pheromone family,winter,night,Fueguia 1833,date,any,"confident, mysterious",1
Quilombo Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62134.jpg?width=400&404=product.png,women,"cane sugar, pampa milk, vanilla",fall,night,Fueguia 1833,casual,cold,"confident, mysterious",3
Thays Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62135.jpg?width=400&404=product.png,unisex,"green tea, mate flowers, osmanthus",spring,day,Fueguia 1833,casual,any,"confident, fresh",1
La Cautiva Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62106.jpg?width=400&404=product.png,women,"blackcurrant, musk, vanilla",fall,night,Fueguia 1833,date,cold,"confident, mysterious",3
Biblioteca de Babel Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62110.jpg?width=400&404=product.png,men,"cabreuva, cedar, cinnamon",spring,night,Fueguia 1833,work,cold,"confident, mysterious",1
Panthea Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65513.jpg?width=400&404=product.png,men,"bergamot, carnation, carrot, elemi, iris, jasmine, musk, patchouli, pink pepper, sandalwood, tangerine, tobacco flower, tonka bean, violet, white tea",summer,day,Stephane Humbert Lucas 777,date,cold,"confident, mysterious",4
Wish Come True Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65514.jpg?width=400&404=product.png,men,"amber, bergamot, incense, jasmine, labdanum, musk, tangerine, tuberose, vanilla, ylangylang",summer,day,Stephane Humbert Lucas 777,date,cold,"confident, mysterious",0
MEM Eau de Parfum,Bogue Profumo,https://static.luckyscent.com/images/products/66921.jpg?width=400&404=product.png,unisex,"amber, bourbon geranium, castoreum, civet, grapefruit, himalayan cedarwood, jasmine grandiflorum, labdanum, laurel, lavender, lily of the valley, mandarin, musk, peppermint, petitgrain, rose damascena, rosewood, sandalwood, siam benzoin, vanilla, white champaca, ylang ylang",spring,day,Bogue Profumo,date,cold,"confident, mysterious",0
Delma Eau de Parfum,Widian,https://static.luckyscent.com/images/products/70909.jpg?width=400&404=product.png,unisex,"bergamot, freesia, geranium, heliotrope, jasmine, leather, mandarin, marshmallow, nutmeg, patchouli, peach, saffron, woody notes",summer,day,Widian,date,hot,"confident, mysterious",5
Liwa Eau de Parfum,Widian,https://static.luckyscent.com/images/products/70910.jpg?width=400&404=product.png,unisex,"amber, artemisia, bergamot, cedar, geranium, incense, jasmine, patchouli, saffron, sandalwood, white rose",summer,day,Widian,date,cold,"confident, mysterious",4
Aqaysos Eau de Parfum,Pierre Guillaume Paris Black Collection,https://static.luckyscent.com/images/products/54516.jpg?width=400&404=product.png,women,"blackcurrant, cocoa beans, coriander, lime, musks, sansho berry, woods",winter,night,Pierre Guillaume Paris Black Collection,date,any,"confident, mysterious",1
Il Tempo delle Mele Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46633.jpg?width=400&404=product.png,women,"apple, milk, vanilla",fall,night,Hilde Soliani,casual,cold,"confident, mysterious",3
Hot Milk Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46634.jpg?width=400&404=product.png,women,"hot pepper, milk",fall,night,Hilde Soliani,casual,any,"confident, mysterious",1
Carnicure (formerly L'animal sauvage) Eau de Parfum,Marlou,https://static.luckyscent.com/images/products/76300.jpg?width=400&404=product.png,women,"amber, civet, labdanum, musk, orange blossom, patchouli, sandalwood, vanilla, violet",fall,night,Marlou,date,cold,"confident, mysterious",0
Passion Eau de Parfum,M. Micallef,https://static.luckyscent.com/images/products/24554.jpg?width=400&404=product.png,women,"benzoin, caramel, cashmeran, cinnamon, musk, orange, oud, patchouli, sandalwood",fall,night,M. Micallef,date,cold,"confident, mysterious",5
Rahele Eau de Parfum,Neela Vermeire Creations,https://static.luckyscent.com/images/products/56507.jpg?width=400&404=product.png,unisex,"cardamom, cedar, cinnamon, green mandarin, iris, jasmin, leather, magnolia, oakmoss, osmanthus, patchouli, rose, sandalwood, violet, violet leaf",spring,day,Neela Vermeire Creations,date,cold,"confident, mysterious",4
Sweet Parmesan Violet Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46631.jpg?width=400&404=product.png,women,"sugar, violet",fall,night,Hilde Soliani,casual,any,"elegant, friendly",1
Una Tira l'Altra Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46632.jpg?width=400&404=product.png,women,cherry,fall,night,Hilde Soliani,casual,any,"confident, mysterious",1
