name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag
"Eye, Hatshepsut Eau de Parfum",Charenton Macerations,https://static.luckyscent.com/images/products/67303.jpg?width=400&404=product.png,unisex," Papyrus, blue lotus, smoke, burnt tallow, kohl, cinnamon, honeyed wine, orris butter, patchouli, incense, labdanum, Egyptian musk",sensual,winter,night,Charenton Macerations
Perdizione Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52317.jpg?width=400&404=product.png,unisex," Grapefruit, bergamot, lavender, ylang-ylang, rose, orange blossom, neroli petitgrain, cedar, vanilla, musk",sensual,summer,day,Nobile 1942
Sandalo Nobile Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52316.jpg?width=400&404=product.png,unisex," Saffron, cumin seed, iris, fig wood, gurjum, sandalwood, benzoin, white musk, cedar",sensual,fall,night,Nobile 1942
On The Road Eau de Parfum,Timothy Han Edition Perfumes,https://static.luckyscent.com/images/products/69401.jpg?width=400&404=product.png,unisex," Galbanum, lemon, bergamot, lavandin, amyris, cedarwood, patchouli, tonka bean, oakmoss, gaiac, benzoin, birch, vanilla, labdanum, perou",sensual,fall,day,Timothy Han Edition Perfumes
Black V Parfum Extrait,Widian,https://static.luckyscent.com/images/products/70904.jpg?width=400&404=product.png,unisex," Lemon, peach, cinnamon, tuberose, orange blossom, solar accord, cedar, caramel, vanilla",sensual,summer,night,Widian
Incarnata Eau de Parfum,Anatole Lebreton,https://static.luckyscent.com/images/products/70803.jpg?width=400&404=product.png,women," Raspberry, violet, rhododendron, lipstick, iris, myrrh, rose, amber, suede, benzoin, vanilla",sensual,summer,night,Anatole Lebreton
La Haine Eau de Parfum,Moth and Rabbit,https://static.luckyscent.com/images/products/66605.jpg?width=400&404=product.png,unisex," aldehyde, buchu leaf, bay, birch, cedar, metallic accord, leather, moss, musk",sensual,fall,night,Moth and Rabbit
Madagascan Jasmine Eau de Parfum,Grandiflora,https://static.luckyscent.com/images/products/64202.jpg?width=400&404=product.png,women,"jasmine, citrus",energetic,spring,day,Grandiflora
La Danza delle Libellule Exceptional Edition Parfum Extrait,Nobile 1942,https://static.luckyscent.com/images/products/52314.jpg?width=400&404=product.png,unisex," Bergamot, red apple, cedar, cinnamon, musk, vanilla, coconut",sensual,fall,day,Nobile 1942
Salome Eau de Parfum,Papillon Artisan Perfumes,https://static.luckyscent.com/images/products/66503.jpg?width=400&404=product.png,women," Jasmine, carnation, bitter red orange, Turkish rose, orange blossom, tobacco, hyraceum, styrax, vanilla, hay, patchouli, bergamot, oakmoss, cumin, birch tar, castoreum",sensual,summer,day,Papillon Artisan Perfumes
Black I Parfum Extrait,Widian,https://static.luckyscent.com/images/products/70900.jpg?width=400&404=product.png,unisex," Cardamom, cinnamon, incense, cypress, sandalwood, cedar, musk",sensual,fall,night,Widian
Black II Parfum Extrait,Widian,https://static.luckyscent.com/images/products/70901.jpg?width=400&404=product.png,women," Plum, Mandarin, Rose, Sandalwood, Musk, Vanilla, Moss",sensual,summer,night,Widian
Black III Parfum Extrait,Widian,https://static.luckyscent.com/images/products/70902.jpg?width=400&404=product.png,unisex," Bergamot, spearmint, leather, dry wood, vanilla, moss, patchouli, sandalwood",sensual,spring,day,Widian
Black IV Parfum Extrait,Widian,https://static.luckyscent.com/images/products/70903.jpg?width=400&404=product.png,unisex," Bergamot, blackcurrant, prune, rose, white flowers, vanilla, musk, leather, sandalwood",sensual,summer,day,Widian
Goddess of Love & Perfume Parfum Extrait,4160 Tuesdays,https://static.luckyscent.com/images/products/64618.jpg?width=400&404=product.png,women," Plum, peach, wild strawberry, blackcurrant, raspberry, grapefruit, yuzu, oakmoss, opoponax, bergamot, patchouli, rose, jasmine, lily of the valley, vanilla, vintage musk",sensual,spring,day,4160 Tuesdays
L'Eau Scandaleuse Eau de Parfum,Anatole Lebreton,https://static.luckyscent.com/images/products/70801.jpg?width=400&404=product.png,women," Bergamot, peach, davana, tuberose, ylang ylang, leather, castoreum, cypriol, oakmoss",sensual,summer,day,Anatole Lebreton
Bois Lumiere Eau de Parfum,Anatole Lebreton,https://static.luckyscent.com/images/products/70802.jpg?width=400&404=product.png,women," Corsican juniper, clary sage, mandarin, fir balsam, honey, rose, carnation, immortelle, beeswax, atlas cedar, benzoin",sensual,summer,day,Anatole Lebreton
Maxed Out Parfum Extrait,4160 Tuesdays,https://static.luckyscent.com/images/products/64617.jpg?width=400&404=product.png,unisex," Rum, coconut and lime, tobacco, coffee, cannabis essential oil, vintage musks, vanilla, cumin, Atlas cedar",sensual,fall,night,4160 Tuesdays
Alchemico Eau de Parfum,Mazzolari,https://static.luckyscent.com/images/products/32824.jpg?width=400&404=product.png,women," Rose, cypress, pepper, incense, geranium, vetiver, amber",sensual,summer,night,Mazzolari
Fougere Nobile Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52313.jpg?width=400&404=product.png,unisex," Bergamot, basil absolute, lavender, black pepper, elemi, geranium, aldehydes, tobacco, vetiver, tonka bean, patchouli, sandalwood, white musk",sensual,summer,day,Nobile 1942
Mortal Skin Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65511.jpg?width=400&404=product.png,men," Blackberry, Ink, Rockrose, Opoponax, Iris, Davana, Myrrh, Cardamom, Ambergris, Storax, Sandalwood, Labdanum, Civet, Atlas Cedarwood, Birch, Musk",sensual,summer,night,Stephane Humbert Lucas 777
Spirituelle Eau de Cologne,Divine,https://static.luckyscent.com/images/products/22715.jpg?width=400&404=product.png,men," Pink pepper, sichaun pepper, geranium, labdanum, rose, cedar, amber, musk, incense",sensual,summer,night,Divine
Black Amber perfume oil,Michele Bergman,https://static.luckyscent.com/images/products/24403.jpg?width=400&404=product.png,unisex," Tunisian amber, vanilla, hint of patchouli",sensual,fall,night,Michele Bergman
She Came to Stay Eau de Parfum,Timothy Han Edition Perfumes,https://static.luckyscent.com/images/products/69400.jpg?width=400&404=product.png,men," Geranium, basil, lemon, Indonesian clove, nutmeg, patchouli, vetiver, labdanum, oakmoss, cedarwood.",sensual,spring,day,Timothy Han Edition Perfumes
L'homme de Coeur Eau de Parfum,Divine,https://static.luckyscent.com/images/products/22712.jpg?width=400&404=product.png,men," angelica, juniper berries, cypress, iris, vetiver, ambergris, wild vanilla",sensual,fall,night,Divine
L'Homme Sage Eau de Parfum,Divine,https://static.luckyscent.com/images/products/22713.jpg?width=400&404=product.png,men," saffron, mandarin, cardamom, lychee, aromatic woods, immortelle (or everlasting flower), patchouli, oak moss, amber, incense",sensual,fall,night,Divine
L'Etre Aime - Homme Eau de Parfum,Divine,https://static.luckyscent.com/images/products/22714.jpg?width=400&404=product.png,unisex," bergamot, lavender, ginger, basil, cardamom, everlasting flower, cistus, sandalwood, vetiver, patchouli",sensual,summer,day,Divine
Augusto Eau de Parfum,Mazzolari,https://static.luckyscent.com/images/products/32820.jpg?width=400&404=product.png,unisex," Bergamot, sweet orange, mint, rosewood, geranium, lavender, vetiver, amber, sandalwood.",sensual,spring,day,Mazzolari
Le Rose Eau de Parfum,Mazzolari,https://static.luckyscent.com/images/products/32821.jpg?width=400&404=product.png,women," Rose, Indian sandalwood, musk.",sensual,summer,night,Mazzolari
Pichola Eau de Parfum,Neela Vermeire Creations,https://static.luckyscent.com/images/products/56506.jpg?width=400&404=product.png,women," Cardamom, cinnamon, saffron, juniper, magnolia, neroli oil, clementine, bergamot, orange blossom absolute, rose absolute, tuberose absolute, jasmine sambac, ylang-ylang, benzoin absolute, sandalwood, driftwood, vetiver from Haiti.",energetic,summer,day,Neela Vermeire Creations
O/E Eau de Parfum,Bogue Profumo,https://static.luckyscent.com/images/products/66903.jpg?width=400&404=product.png,women," Bergamot, grapefruit, lemon, neroli, clove, black pepper, rosemary, thyme, camphor, Lebanon cedar, juniper, pine, cypress, rose, jasmine, vetiver, benzoin, tobacco, resins, sandalwood",sensual,summer,day,Bogue Profumo
Asphalt Rainbow Scratch & Sniff Sticker Set,Charenton Macerations,https://static.luckyscent.com/images/products/67302.jpg?width=400&404=product.png,unisex," Rose Absolute, Rose Fragments, Spray Paint (Aerosols), Galbanum, Lily of the Valley, Lychee, Ylang, Saffron, Magnolia, Leather, Cistus, Asphalt, Detritus, Patchouli, Wood, Amber",sensual,summer,night,Charenton Macerations
Asphalt Rainbow Eau de Parfum,Charenton Macerations,https://static.luckyscent.com/images/products/67301.jpg?width=400&404=product.png,unisex," Rose Absolute, Rose Fragments, Galbanum, Lily of the Valley, Lychee, Ylang, Saffron, Magnolia, Leather, Cistus, Asphalt, Patchouli, Wood, Amber",sensual,summer,night,Charenton Macerations
Cristallo di Rocca Eau de Parfum,Omnia Profumo,https://static.luckyscent.com/images/products/46109.jpg?width=400&404=product.png,women," Almond, citrus, lily of the valley, rose, geranium, ylang ylang, cloves, rum, iris, sandalwood, vanilla, and rock crystal.",sensual,spring,day,Omnia Profumo
Morning Muscs Eau de Parfum,Alexandre. J,https://static.luckyscent.com/images/products/69001.jpg?width=400&404=product.png,women," Mandarin orange, grapefruit, peach, iris, damask rose, violet, patchouli, musk and moss.",sensual,summer,night,Alexandre. J
Black Muscs Eau de Parfum,Alexandre. J,https://static.luckyscent.com/images/products/69002.jpg?width=400&404=product.png,women," Bergamot, lemon, violet, rose, patchouli, amber, and musk.",sensual,summer,day,Alexandre. J
Rose Oud Eau de Parfum,Alexandre. J,https://static.luckyscent.com/images/products/69005.jpg?width=400&404=product.png,women," Rose, agarwood, musk, amber, lemon, olibanum and sandalwood.",sensual,summer,night,Alexandre. J
Silver Ombre Eau de Parfum,Alexandre. J,https://static.luckyscent.com/images/products/69006.jpg?width=400&404=product.png,women," Raspberry, lemon, apple, rose, iris, saffron, musk, patchouli, amber, vanilla and white woods.",sensual,summer,night,Alexandre. J
Vaniglia Eau de Parfum,Mazzolari,https://static.luckyscent.com/images/products/32816.jpg?width=400&404=product.png,women," Vanilla, caramel, orchid",sensual,fall,night,Mazzolari
Nero Eau de Parfum,Mazzolari,https://static.luckyscent.com/images/products/32819.jpg?width=400&404=product.png,women," Blackcurrant, apple, bergamot, pineapple, rose, jasmine, patchouli, birch, amber, musk, vanilla.",sensual,summer,day,Mazzolari
Christopher Street Eau de Parfum,Charenton Macerations,https://static.luckyscent.com/images/products/67300.jpg?width=400&404=product.png,unisex," Alcoholic lime, bergamot, bitter orange, leather, tobacco, cinnamon, clove bud, orange blossom, poet carnation, incense, moss, musk, myrrh, patchouli.",sensual,fall,day,Charenton Macerations
Rudis Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52312.jpg?width=400&404=product.png,unisex," bergamot, dried fruits, rose, geranium, clove, saffron, cedar wood, leathery notes, patchouli, vetiver, immortelle, musk and incense",sensual,summer,day,Nobile 1942
Gardenia Eau de Parfum,M. Micallef,https://static.luckyscent.com/images/products/24547.jpg?width=400&404=product.png,women," Gardenia, peach, ylang-ylang, jasmine, sandalwood, ambergris, white musk.",sensual,summer,night,M. Micallef
Mohur Extrait Parfum Extrait,Neela Vermeire Creations,https://static.luckyscent.com/images/products/56505.jpg?width=400&404=product.png,unisex," Cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather, sandalwood, amber, woody notes, patchouli, agarwood (oud), benzoin, vanilla, and tonka bean.",sensual,summer,night,Neela Vermeire Creations
Maai Eau de Parfum,Bogue Profumo,https://static.luckyscent.com/images/products/66901.jpg?width=400&404=product.png,women," tuberose, rose, jasmine, ylang ylang, civet, castoreum, hyraceum, dried fruits, sandalwood, oakmoss.",sensual,summer,day,Bogue Profumo
SHE Shihan Eau de Parfum,Piotr Czarnecki,https://static.luckyscent.com/images/products/66001.jpg?width=400&404=product.png,men," Plum, violet, rose, tobacco, incense, spices, vanilla",sensual,summer,night,Piotr Czarnecki
Mood Indigo Eau de Parfum,Moth and Rabbit,https://static.luckyscent.com/images/products/66600.jpg?width=400&404=product.png,unisex," Red pepper, camomile romaine, geranium, waterlily, musk, sandalwood, incense, amber, cedarwood, and patchouli.",sensual,fall,night,Moth and Rabbit
Love Exposure Eau de Parfum,Moth and Rabbit,https://static.luckyscent.com/images/products/66601.jpg?width=400&404=product.png,unisex," Ylang, magnolia flowers, neroli oil, cassis, bay oil, cumin oil, costus, jasmine sambac, encens, musk, sandalwood, ambergris, and vanilla.",sensual,summer,night,Moth and Rabbit
Anubis Eau de Parfum,Papillon Artisan Perfumes,https://static.luckyscent.com/images/products/66500.jpg?width=400&404=product.png,women," Suede, jasmine, pink lotus, immortelle, olibanum, myrrh and saffron.",sensual,summer,day,Papillon Artisan Perfumes
Tobacco Rose Eau de Parfum,Papillon Artisan Perfumes,https://static.luckyscent.com/images/products/66501.jpg?width=400&404=product.png,women," Bulgarian rose, rose de mai, oakmoss, ambergris, beeswax and peru balsam.",sensual,summer,day,Papillon Artisan Perfumes
Angelique Eau de Parfum,Papillon Artisan Perfumes,https://static.luckyscent.com/images/products/66502.jpg?width=400&404=product.png,men," Mimosa petals, orris, champaca, osmanthus, cedar and olibanum.",energetic,summer,day,Papillon Artisan Perfumes
2022 Generation Homme Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65510.jpg?width=400&404=product.png,men," Yuzu zest, blackcurrant, mint, Cambodian oud, precious oud, spices, balsamic notes.",sensual,spring,day,Stephane Humbert Lucas 777
Shihan Eau de Parfum,Piotr Czarnecki,https://static.luckyscent.com/images/products/66000.jpg?width=400&404=product.png,men," Whiskey, coffee, tobacco, pepper, cinnamon, incense, myrrh, spicy accord, ambrette, labdanum, benzoin, amber and musk.",sensual,fall,night,Piotr Czarnecki
Black Gemstone Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65500.jpg?width=400&404=product.png,men," Infusion of three cedars lemon, myrrh, tar, incense, teak, tonka.",sensual,winter,night,Stephane Humbert Lucas 777
Oumma Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65502.jpg?width=400&404=product.png,men," Egyptian jasmine, Moroccan rose, Peruvian balsam, balsam tolu, ashes of cade, Burmese oud, nagarmotha.",romantic,summer,night,Stephane Humbert Lucas 777
Rose de Petra Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65503.jpg?width=400&404=product.png,women," Rose oxide, pomegranate, litchi, Bulgarian rose, pepper, cardamom, cumin seeds.",energetic,summer,day,Stephane Humbert Lucas 777
Soleil de Jeddah Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65504.jpg?width=400&404=product.png,men," Lemon, Roman chamomile, osmanthus, iris root, amber, earthy notes, iris butter, Russian leather, vanilla from Madagascar.",sensual,fall,night,Stephane Humbert Lucas 777
Khol de Bahrein Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65505.jpg?width=400&404=product.png,men," Violet, nougat, gums, iris powder, sandalwood, benzoin, amber, musky balsamic notes.",sensual,fall,night,Stephane Humbert Lucas 777
O Hira Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65506.jpg?width=400&404=product.png,men, Fossilized amber,sensual,fall,day,Stephane Humbert Lucas 777
Une Nuit a Doha Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/65508.jpg?width=400&404=product.png,men," Fennel, crystallized mandarin, ginger, immortelle flower from Corsica, vetiver from Ha??ti, brown tobacco, absolute of vanilla.",sensual,fall,night,Stephane Humbert Lucas 777
Magnolia Grandiflora - Sandrine Eau de Parfum,Grandiflora,https://static.luckyscent.com/images/products/64201.jpg?width=400&404=product.png,women," Lemon, grapefruit, white pepper, fresh garden accords, dry wood accords, marine-aquatic accords, musky accords",sensual,spring,day,Grandiflora
Vani Choc Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46629.jpg?width=400&404=product.png,women," Citrus accord, vanilla, almond, sandalwood",sensual,spring,day,Hilde Soliani
Tendre est la Nuit Eau de Parfum,Majda Bekkali,https://static.luckyscent.com/images/products/60106.jpg?width=400&404=product.png,men," Corsican immortelle, ambrette and carrot seeds, cabreuva, davana, pepper, Sichuan pepper, benzoin, leather, labdanum, oakmoss, incense, patchouli, castoreum",sensual,fall,night,Majda Bekkali
Monsieur Eau de Parfum,Pierre Guillaume Paris Black Collection,https://static.luckyscent.com/images/products/54513.jpg?width=400&404=product.png,men," Patchouli, Cedarwood, Vetiver and Sandalwood, Absolute of Poplar, Oakmoss, Incense Wood and Papyrus.",energetic,fall,night,Pierre Guillaume Paris Black Collection
Ashoka Eau de Parfum,Neela Vermeire Creations,https://static.luckyscent.com/images/products/56504.jpg?width=400&404=product.png,unisex," Lotus, rose, water hyacinth, fig leaf, parsley leaf, Osmanthus absolute, cassie absolute, iris, incense essence, Jasmine sambac, fig milk, geranium, ylang-ylang, Fir balsam absolute, myrrh, cedarwood, sandalwood, vanilla accord, ambre gris, birch, Haitian vetiver, leather, styrax, heliotrope",sensual,summer,night,Neela Vermeire Creations
Cologne Absolute Eau de Parfum,Tom Daxon,https://static.luckyscent.com/images/products/62602.jpg?width=400&404=product.png,women," Neroli, bergamot, tarragon, green violet leaf, lemon petitgrain, jasmine, lily of the valley, givescone, patchouli, cypriol",energetic,spring,day,Tom Daxon
Sicilian Wood Eau de Parfum,Tom Daxon,https://static.luckyscent.com/images/products/62603.jpg?width=400&404=product.png,women," Lemon, tangerine, bergamot, cardamom, gaiac wood, jasmine, lily of the valley, amber cedarwood, sandalwood",sensual,summer,day,Tom Daxon
Resin Sacra Eau de Parfum,Tom Daxon,https://static.luckyscent.com/images/products/62607.jpg?width=400&404=product.png,women," Suede, frankincense, patchouli, benzoin Siam, cistus, ambroxan, sandalwood, vetiver",sensual,fall,night,Tom Daxon
Iridium Eau de Parfum,Tom Daxon,https://static.luckyscent.com/images/products/62600.jpg?width=400&404=product.png,men," Juniper, angelica, carrot seed, iris, vetiver, cedarwood, Iso E Super",sensual,summer,day,Tom Daxon
Salvia Sclarea Eau de Parfum,Tom Daxon,https://static.luckyscent.com/images/products/62601.jpg?width=400&404=product.png,women," Grass, green violet leaf, bergamot, elemi, clary sage, jasmine, oakmoss, cashmeran, white musks",sensual,spring,day,Tom Daxon
Agua Magnoliana Eau de Parfum,Fueguia 1833,https://static.luckyscent.com/images/products/62103.jpg?width=400&404=product.png,women," Amazon magnolia, Santalum Album, grandiflorum jasmine",sensual,summer,night,Fueguia 1833
Talc Gourmand Eau de Parfum,Farmacia SS. Annunziata dal 1561,https://static.luckyscent.com/images/products/44016.jpg?width=400&404=product.png,women," Honey, caramel, vanilla flower, talcum powder, heliotrope, chocolate, tonka bean, sandalwood, vanilla",sensual,fall,night,Farmacia SS. Annunziata dal 1561
Orgasmo Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46626.jpg?width=400&404=product.png,women," almond, amaretto liqueur accord",cozy,fall,night,Hilde Soliani
J'ai Fait Un Reve - Obscur Eau de Parfum,Majda Bekkali,https://static.luckyscent.com/images/products/60100.jpg?width=400&404=product.png,unisex," Pink pepper, bergamot, Egyptian jasmine absolute, vanilla flower, oud, saffron, Moroccan atlas cedar and cashmere wood",sensual,summer,day,Majda Bekkali
J'ai Fait Un Reve - Clair Eau de Parfum,Majda Bekkali,https://static.luckyscent.com/images/products/60101.jpg?width=400&404=product.png,unisex," Petitgrain, elemi, cumin, currant leaves, orange blossom, jasmine, lisylang, castoreum, white musk, white cedar, guaiac, leather, labdanum, incense and papyrus",sensual,summer,night,Majda Bekkali
Fusion Sacree - Clair Eau de Parfum,Majda Bekkali,https://static.luckyscent.com/images/products/60102.jpg?width=400&404=product.png,unisex,"fir, cedar, patchouli, jasmine, orange blossom, vanilla, musk, benzoin",sensual,summer,night,Majda Bekkali
Fusion Sacree - Obscur Eau de Parfum,Majda Bekkali,https://static.luckyscent.com/images/products/60103.jpg?width=400&404=product.png,unisex," Rum, citron, celery, sweet orange, neroli, cardamom, lavender, davana, bergamot, white coffee, tuberose absolute, cloves, geranium, sweet william pear, liquorice, benzoin resinoid, opoponax resinoid, ambergris, cedar, sandalwood, vanilla, caramel and musk",sensual,summer,day,Majda Bekkali
Mon Nom Est Rouge Eau de Parfum,Majda Bekkali,https://static.luckyscent.com/images/products/60104.jpg?width=400&404=product.png,unisex," Pepper, lemon, elemi, pink pepper, metallic affect, Turkish rose, geranium, cardamom, cumin, cinnamon, ginger, incense, woody balsamic, cedar, sandalwood, amber, vanilla, labdanum, patchouli, tonka bean, musk",sensual,summer,night,Majda Bekkali
Platino,Omnia Profumo,https://static.luckyscent.com/images/products/46108.jpg?width=400&404=product.png,women," Whipped cream, coconut, caramel, almond milk, jasmine, mimosa, vanilla, white musk",sensual,summer,night,Omnia Profumo
L'homme infini Eau de Parfum,Divine,https://static.luckyscent.com/images/products/22711.jpg?width=400&404=product.png,men," Coriander leaf and grain, elemi, black pepper, oak, cedar, agar wood, vetiver, amber, benzoin",sensual,fall,night,Divine
Crema di Latte Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46624.jpg?width=400&404=product.png,women," Milk, sugar, vanilla",sensual,fall,night,Hilde Soliani
Cristina Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46625.jpg?width=400&404=product.png,women," Patchouli, labdanum, vanilla",sensual,fall,night,Hilde Soliani
Poudre de Riz Eau de Parfum,Pierre Guillaume Paris Black Collection,https://static.luckyscent.com/images/products/54512.jpg?width=400&404=product.png,men," Damask rose, tiare absolute, coconut, vanilla, rice powder accord (caramelic, burnt toast and maple notes), sandalwood, iris, cedar, tonka bean, Tolu balsam and benzoin resin",sensual,summer,night,Pierre Guillaume Paris Black Collection
450 Eau de Parfum,Farmacia SS. Annunziata dal 1561,https://static.luckyscent.com/images/products/44015.jpg?width=400&404=product.png,women," Musk, Iris of Florence, Amber, Aromatic notes, Incense, Vanilla",sensual,fall,night,Farmacia SS. Annunziata dal 1561
Emir Eau de parfum,M. Micallef,https://static.luckyscent.com/images/products/24529.jpg?width=400&404=product.png,women," orange, grapefruit, geranium, oud, black pepper, patchouli, cedarwood, leather, musk",sensual,fall,night,M. Micallef
Bombay Bling Eau de Parfum,Neela Vermeire Creations,https://static.luckyscent.com/images/products/56500.jpg?width=400&404=product.png,unisex," Mango, lychee, blackcurrant, cardamom, cumin, cistus, Turkish rose, jasmine sambac, ylang-ylang, tuberose, plumeria, gardenia, patchouli, tobacco, sandalwood, cedar, vanilla",sensual,summer,night,Neela Vermeire Creations
Mohur Eau de Parfum,Neela Vermeire Creations,https://static.luckyscent.com/images/products/56501.jpg?width=400&404=product.png,unisex," Cardamom, coriander, ambrette, carrot, black pepper, elemi,  Turkish rose oil, jasmine, orris, hawthorn, almond milk accord, leather, sandalwood, amber, patchouli, oudh Palao from Laos, benzoin, vanilla, tonka bean",sensual,summer,night,Neela Vermeire Creations
Trayee Eau de Parfum,Neela Vermeire Creations,https://static.luckyscent.com/images/products/56502.jpg?width=400&404=product.png,unisex," Blue ginger, elemi, cinnamon, ganja accord, blackcurrant absolute, basil, jasmine sambac, Egyptian jasmine, cardamom absolute, clove, saffron, Javanese and Haitian vetiver, incense, Mysore sandalwood oil, patchouli, myrrh, vanilla, cedar, amber notes, oud palao from Laos, oak moss.",sensual,summer,night,Neela Vermeire Creations
Myrrhiad Eau de Parfum,Pierre Guillaume Paris Black Collection,https://static.luckyscent.com/images/products/54510.jpg?width=400&404=product.png,women," Myrrh, black tea absolute, vanilla, licorice",sensual,fall,night,Pierre Guillaume Paris Black Collection
Oro Eau de Parfum,Omnia Profumo,https://static.luckyscent.com/images/products/46105.jpg?width=400&404=product.png,women," Lemon, Bergamot, Cyclamen, Lavender, Lilac, Peony, Patchouly Sandalwood, Coumarin, Incense, Vanilla",sensual,summer,day,Omnia Profumo
Conaffetto Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46614.jpg?width=400&404=product.png,women," Orange blossom, almond, sugar",energetic,fall,night,Hilde Soliani
Patchouli Nobile Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52300.jpg?width=400&404=product.png,unisex," Citrus, white pepper, frankincense, patchouli, gaic wood, cistus, jasmine Moroccan cedarwood, amber, oak moss, sandalwood, tonka.",sensual,spring,day,Nobile 1942
Estroverso Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52302.jpg?width=400&404=product.png,unisex," Lemon, Orange, Tangerine, Lime, Rosemary, Mugwort, Cedarwood, Vetiver, Patchouly, Musk, Ambergris",sensual,summer,night,Nobile 1942
Ambra Nobile Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52301.jpg?width=400&404=product.png,men," Neroli, Bergamot, Ambergris, Labdanum, Patchouly, Tonka Bean, Sandalwood, Cedarwood, Vetiver",sensual,fall,day,Nobile 1942
Note Vanillee Eau de Parfum,M. Micallef,https://static.luckyscent.com/images/products/24511.jpg?width=400&404=product.png,women," mandarin, jasmine, honey, licorice, sandalwood, vanilla, cognac, rum",sensual,summer,night,M. Micallef
Beachwood Eau de Parfum,Costamor,https://static.luckyscent.com/images/products/50004.jpg?width=400&404=product.png,unisex," Bergamot, Mandarin, Neroli, Jasmine, Coconut, Cedar wood, Sandalwood, Amber, Musk",sensual,summer,day,Costamor
Sugarwood Eau de Parfum,Costamor,https://static.luckyscent.com/images/products/50001.jpg?width=400&404=product.png,unisex," Bergamot, fig, sugar cane pulp, peony, jasmine, musk, iris, vanilla, cedarwood",sensual,summer,day,Costamor
Eau Divine Eau de Parfum,Divine,https://static.luckyscent.com/images/products/22706.jpg?width=400&404=product.png,unisex," Green mandarin, star anise, ginger, nutmeg, orange flower, violet, cardamom, white amber, labdanum, hot musk",sensual,spring,day,Divine
Il Vs Iris Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46610.jpg?width=400&404=product.png,unisex," Orris root, green pepper, almond, sandalwood.",energetic,spring,day,Hilde Soliani
Acquiiissssima Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46606.jpg?width=400&404=product.png,women," seaweed, jasmine, green tea",energetic,spring,day,Hilde Soliani
Fraaagola Saalaaata Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46609.jpg?width=400&404=product.png,women, Strawberry salt,energetic,fall,night,Hilde Soliani
L'etre Aime - Femme Eau de Parfum,Divine,https://static.luckyscent.com/images/products/22705.jpg?width=400&404=product.png,women," neroli, bergamot, nectarine, jasmine, lily, tincture of rose, everlasting flowers, labdanum, sandalwood, vetiver and vanilla",sensual,summer,day,Divine
Ambra Eau de Parfum ...,Omnia Profumo,https://static.luckyscent.com/images/products/46100.jpg?width=400&404=product.png,unisex," Orange, bergamot, geranium, incense, lavender, patchouli, vanilla, labdanum, opoponax, amber",sensual,summer,day,Omnia Profumo
Madera Eau de Parfum,Omnia Profumo,https://static.luckyscent.com/images/products/46101.jpg?width=400&404=product.png,unisex," Vanilla pod, caramel, Madagascar vanilla, peach blossom, wildflowers, tobacco flower, coconut, white musk",sensual,summer,night,Omnia Profumo
Onice Eau de Parfum ...,Omnia Profumo,https://static.luckyscent.com/images/products/46102.jpg?width=400&404=product.png,unisex," citrus, anise, lavender, licorice, peach, pineapple, rose, nutmeg, geranium, hyacinth, jasmine, ylang, mint, sandalwood, musk, cedarwood, amber",sensual,spring,day,Omnia Profumo
Vaniglia del Madagascar Parfum Concentration,Farmacia SS. Annunziata dal 1561,https://static.luckyscent.com/images/products/44013.jpg?width=400&404=product.png,women," lemon, floral notes, amber notes, Madagascar vanilla",sensual,fall,night,Farmacia SS. Annunziata dal 1561
